Signature_Name	Total_Mutaions
SBS96N	859
SBS96N	124
SBS96N	1623
SBS96N	1941
SBS96N	1217
SBS96N	614
SBS96N	1769
SBS96N	2858
SBS96N	918
SBS96N	457
SBS96N	2631
SBS96N	1233
SBS96N	1408
SBS96N	698
SBS96N	2872
SBS96N	998
SBS96N	998
SBS96N	861
SBS96N	15125
SBS96O	3017
SBS96O	672
SBS96O	36
SBS96O	2113
SBS96O	4114
SBS96O	2452
SBS96O	627
SBS96O	7685
SBS96O	2181
SBS96O	962
SBS96O	460
SBS96O	1344
SBS96O	1865
SBS96O	101
SBS96O	527
SBS96O	255
SBS96O	4391
SBS96O	975
SBS96O	145
SBS96O	3016
SBS96O	12000
SBS96O	818
SBS96O	2260
SBS96O	1256
SBS96O	1490
SBS96O	1335
SBS96O	10
SBS96O	335
SBS96O	2029
SBS96O	878
SBS96O	218
SBS96O	2817
SBS96O	1102
SBS96O	898
SBS96O	869
SBS96O	539
SBS96O	2119
SBS96O	466
SBS96O	1150
SBS96O	3422
SBS96O	4657
SBS96O	851
SBS96O	524
SBS96O	677
SBS96O	2910
SBS96O	946
SBS96O	504
SBS96O	306
SBS96O	2028
SBS96O	584
SBS96O	94
SBS96O	780
SBS96O	1198
SBS96O	2120
SBS96O	419
SBS96O	2520
SBS96O	1735
SBS96O	810
SBS96O	247
SBS96O	1017
SBS96O	721
SBS96O	347
SBS96O	404
SBS96O	911
SBS96O	1345
SBS96O	689
SBS96O	189
SBS96O	976
SBS96O	1087
SBS96O	500
SBS96O	588
SBS96O	295
SBS96O	592
SBS96O	759
SBS96O	51
SBS96O	276
SBS96O	1025
SBS96O	1425
SBS96O	271
SBS96O	7701
SBS96O	1403
SBS96O	1183
SBS96O	264
SBS96O	425
SBS96O	3019
SBS96O	902
SBS96O	1411
SBS96O	3338
SBS96O	16888
SBS96O	2525
SBS96O	3358
SBS96O	3359
SBS96O	21869
SBS96O	2470
SBS96O	4742
SBS96O	6745
SBS96P	5
SBS96P	198
SBS96P	8
SBS96P	305
SBS96P	71
SBS96P	57
SBS96P	13
SBS96P	78
SBS96P	133
SBS96P	609
SBS96P	1795
SBS96P	294
SBS96P	169
SBS96P	1250
SBS96P	26
SBS96P	1127
SBS96P	916
SBS96P	1615
SBS96P	260
SBS96P	454
SBS96P	21
SBS96P	122
SBS96P	60
SBS96P	373
SBS96P	900
SBS96P	511
SBS96P	264
SBS96P	2310
SBS96P	8
SBS96P	16
SBS96P	40
SBS96P	21
SBS96P	307
SBS96P	515
SBS96P	875
SBS96P	381
SBS96P	60
SBS96P	274
SBS96P	38
SBS96P	93
SBS96P	55
SBS96P	764
SBS96P	26
SBS96P	76
SBS96P	19
SBS96P	207
SBS96P	351
SBS96P	92
SBS96P	838
SBS96P	2178
SBS96P	387
SBS96P	6104
SBS96P	16
SBS96P	169
SBS96P	28
SBS96P	49
SBS96P	4856
SBS96P	20059
SBS96P	66311
SBS96P	11794
SBS96P	42
SBS96P	891
SBS96P	108
SBS96P	58
SBS96P	2379
SBS96P	8101
SBS96P	1339
SBS96P	1205
SBS96P	92
SBS96P	866
SBS96P	703
SBS96P	4271
SBS96P	195
SBS96P	550
SBS96P	27
SBS96P	1441
SBS96P	132
SBS96P	21
SBS96P	19
SBS96P	224
SBS96P	291
SBS96P	760
SBS96P	439
SBS96P	742
SBS96P	298
SBS96P	314
SBS96P	15
SBS96P	120
SBS96P	617
SBS96P	3719
SBS96P	151
SBS96P	508
SBS96P	22
SBS96P	148
SBS96P	162
SBS96P	540
SBS96Q	844
SBS96Q	1138
SBS96Q	129
SBS96Q	1471
SBS96Q	871
SBS96Q	325
SBS96Q	256
SBS96Q	413
SBS96Q	585
SBS96Q	411
SBS96Q	942
SBS96Q	691
SBS96Q	439
SBS96Q	235
SBS96Q	196
SBS96Q	1958
SBS96Q	865
SBS96Q	551
SBS96Q	544
SBS96Q	744
SBS96Q	727
SBS96Q	718
SBS96Q	217
SBS96Q	5621
SBS96Q	517
SBS96Q	117
SBS96Q	44
SBS96Q	2326
SBS96Q	264
SBS96Q	249
SBS96Q	26
SBS96Q	145
SBS96Q	268
SBS96Q	118
SBS96Q	302
SBS96Q	473
SBS96Q	34
SBS96Q	212
SBS96Q	400
SBS96Q	246
SBS96Q	28
SBS96Q	178
SBS96Q	192
SBS96Q	9
SBS96Q	1049
SBS96Q	99
SBS96Q	501
SBS96Q	2341
SBS96Q	221
SBS96Q	489
SBS96Q	104
SBS96Q	2097
SBS96Q	174
SBS96Q	183
SBS96Q	9
SBS96Q	292
SBS96Q	605
SBS96Q	1225
SBS96Q	16
SBS96Q	1865
SBS96Q	229
SBS96Q	223
SBS96Q	163
SBS96Q	243
SBS96Q	1407
SBS96Q	2477
SBS96Q	561
SBS96Q	1973
SBS96Q	265
SBS96Q	508
SBS96Q	41
SBS96Q	1400
SBS96Q	8752
SBS96Q	1384
SBS96Q	203
SBS96Q	45819
SBS96Q	1238
SBS96Q	760
SBS96Q	193
SBS96Q	377
SBS96Q	66
SBS96Q	319
SBS96Q	1920
SBS96Q	1162
SBS96Q	655
SBS96Q	198
SBS96Q	225
