Types	Mut_burden
Kidney-RCC	7527
Kidney-RCC	6207
Kidney-RCC	19269
Kidney-RCC	4243
Kidney-RCC	5217
Kidney-RCC	4970
Kidney-RCC	7556
Kidney-RCC	6036
Kidney-RCC	4369
Kidney-RCC	3873
Kidney-RCC	5931
Kidney-RCC	27529
Kidney-RCC	5375
Kidney-RCC	4835
Kidney-RCC	4803
Kidney-RCC	2514
Kidney-RCC	4289
Kidney-RCC	5760
Kidney-RCC	6628
Kidney-RCC	12227
Kidney-RCC	4177
Kidney-RCC	8046
Kidney-RCC	9337
Kidney-RCC	10743
Kidney-RCC	4386
Kidney-RCC	7206
Kidney-RCC	35984
Kidney-RCC	5085
Kidney-RCC	3425
Kidney-RCC	2255
Kidney-RCC	8902
Kidney-RCC	6113
Kidney-RCC	3178
Kidney-RCC	4371
Kidney-RCC	4759
Kidney-RCC	6817
Kidney-RCC	8022
Kidney-RCC	4520
Kidney-RCC	7656
Kidney-RCC	2396
Kidney-RCC	5955
Kidney-RCC	5819
Kidney-RCC	5616
Kidney-RCC	7184
Kidney-RCC	4883
Kidney-RCC	7313
Kidney-RCC	6594
Kidney-RCC	19048
Kidney-RCC	7300
Kidney-RCC	1085
Kidney-RCC	5927
Kidney-RCC	28099
Kidney-RCC	7211
Kidney-RCC	3047
Kidney-RCC	6586
Kidney-RCC	10608
Kidney-RCC	9599
Kidney-RCC	4663
Kidney-RCC	3575
Kidney-RCC	3411
Kidney-RCC	4399
Kidney-RCC	7069
Kidney-RCC	7042
Kidney-RCC	3819
Kidney-RCC	6273
Kidney-RCC	2042
Kidney-RCC	3599
Kidney-RCC	8826
Kidney-RCC	5264
Kidney-RCC	8647
Kidney-RCC	3225
Liver-HCC	8082
Liver-HCC	8017
Liver-HCC	10359
Liver-HCC	36047
Liver-HCC	9874
Liver-HCC	9516
Liver-HCC	25473
Liver-HCC	11988
Liver-HCC	8863
Liver-HCC	7762
Liver-HCC	16674
Liver-HCC	9522
Liver-HCC	15440
Liver-HCC	15145
Liver-HCC	10826
Liver-HCC	7034
Liver-HCC	2747
Liver-HCC	10679
Liver-HCC	6568
Liver-HCC	3694
Liver-HCC	10880
Liver-HCC	13295
Liver-HCC	15647
Liver-HCC	12240
Liver-HCC	16532
Liver-HCC	3340
Liver-HCC	15414
Liver-HCC	7964
Liver-HCC	3504
Liver-HCC	8760
Liver-HCC	3847
Liver-HCC	12805
